country,year,total_deaths,total_affected,reconstruction_costs_('000_us$),"reconstruction_costs,_adjusted_('000_us$)",insured_damages_('000_us$),"insured_damages,_adjusted_('000_us$)",total_damages_('000_us$),"total_damages,_adjusted_('000_us$)",total_occurences,lat,lng
Namibia,60218,455,3815727,0,0,0,0,195490,274262,30,-22.95764,18.49041
Nepal,200686,20139,12203667,0,0,105000,120640,6409252,7455537,100,28.394857,84.124008
Netherlands (the),72155,2823,265325,0,0,2500300,4145403,5484711,9192618,36,52.132633,5.291266
Netherlands Antilles,1995,2,40000,0,0,700000,1244748,1000000,1778211,1,12.226079,-69.060087
New Caledonia,8026,2,1537,0,0,0,0,40000,58920,4,-20.904305,165.618042
New Zealand,92364,220,635861,0,0,21310400,25734573,30862100,37270450,46,-40.900557,174.885971
Nicaragua,140309,4184,4700058,0,0,0,0,2047072,2871771,70,12.865416,-85.207229
Niger (the),166653,10581,34536832,0,0,0,0,270839,316394,83,17.607789,8.081666
Nigeria,248855,28729,12797156,5100,5638,0,0,1014422,1204719,124,9.081999,8.675277
Niue,5993,2,1199,0,0,0,0,40000,57384,3,-19.054445,-169.867233
Northern Mariana Islands (the),10042,5,860,0,0,0,0,0,0,5,17.33083,145.38469
Norway,26046,16,7860,0,0,360800,664213,693000,1125179,13,60.472024,8.468946
Oman,28198,183,26673,0,0,676300,879633,5252000,6748912,14,21.512583,55.923255
Pakistan,385416,93984,116463936,5200000,7215066,100000,124266,28753814,36645713,192,30.375321,69.345116
Palau,10079,0,22862,0,0,0,0,0,0,5,7.51498,134.58252
"Palestine, State of",18128,17,129121,0,0,0,0,0,0,9,31.9522,35.2332
Panama,100313,367,259319,0,0,0,0,320850,381146,50,8.537981,-80.782127
Papua New Guinea,144479,3645,4718976,183000,239157,0,0,310228,454579,72,-6.314993,143.95555
Paraguay,100444,298,3832000,0,0,0,0,68507,87562,50,-23.442503,-58.443832
Peru,272969,16018,16514348,0,0,630000,757964,4581150,5598918,136,-9.189967,-75.015152
Philippines (the),919048,41013,207201451,5300,5859,944800,1170824,26712489,33365691,458,12.879721,121.774017
Poland,110491,2307,358899,0,0,490000,821826,7872050,11559914,55,51.919438,19.145136
Portugal,76315,3460,164181,2005751,2414953,632800,727319,7390636,9963092,38,39.399872,-8.224454
Puerto Rico,50173,118,929299,0,0,31240000,34791150,72657800,82137814,25,18.220833,-66.590149
Qatar,2018,0,1500,0,0,0,0,10000,10791,1,25.354826,51.183884
Romania,172397,1037,430722,0,0,23700,49151,3639918,5108409,86,45.943161,24.96676
Russian Federation (the),,62074,5176781,0,0,66000,83212,15570896,23158062,190,61.52401,105.318756
Rwanda,94457,924,2168812,0,0,0,0,72009,77707,47,-1.940278,29.873888
Réunion,16061,19,161268,0,0,49000,56086,135000,172614,8,#N/A,#N/A
Saint BarthÃ©lemy,2017,4,0,0,0,1048800,1159405,0,0,1,#N/A,#N/A
"Saint Helena, Ascension and Tristan da Cunha",2001,0,300,0,0,0,0,0,0,1,-15.9583,-5.702
Saint Kitts and Nevis,12007,5,13480,0,0,2300,2543,658400,1104685,6,17.357822,-62.782998
Saint Lucia,26107,29,230427,0,0,20000,26137,75000,87613,13,13.909444,-60.978893
Saint Martin (French Part),2017,12,110,0,0,1231200,1361041,4100000,4532381,1,21.4691,-78.6569
Saint Vincent and the Grenadines,28140,28,65820,0,0,0,0,480500,512773,14,12.984305,-61.287228
Samoa,20064,274,306904,0,0,0,0,736540,1283821,10,-13.759029,-172.104629
Sao Tome and Principe,4026,33,221017,0,0,0,0,0,0,2,0.3069,6.6531
Saudi Arabia,52273,595,28760,0,0,80000,96371,1252000,1556868,26,23.885942,45.079162
Senegal,70230,1194,3460020,84,117,0,0,68979,92380,35,14.497401,-14.452362
Serbia,,117,359701,0,0,0,0,2308522,2651024,43,44.016521,21.005859
Seychelles,14051,8,26016,0,0,0,0,41000,56726,7,-4.679574,55.491977
Sierra Leone,60176,6329,318449,0,0,0,0,30000,33164,30,8.460555,-11.779889
Singapore,8016,36,15289,0,0,0,0,0,0,4,1.352083,103.819836
Sint Maarten (Dutch part),2017,4,5040,0,0,500000,552729,2500000,2763647,1,21.4691,-78.6569
Slovakia,46169,204,59658,0,0,8500,13404,785600,1175992,23,48.669026,19.699024
Slovenia,22105,301,68405,0,0,1000,1435,752000,964173,11,46.151241,14.995463
Solomon Islands,50225,201,401102,0,0,0,0,30000,34410,25,-9.64571,160.156194
Somalia,170619,27551,34415049,0,0,0,0,1175020,1225141,85,5.152149,46.199616
South Africa,202692,1992,31684823,127548,171444,816800,1050429,9168765,8363852,101,-30.559482,22.937506
South Sudan,50361,509,11885673,0,0,0,0,0,0,25,6.877,31.571251
Spain,152516,15575,6061951,0,0,2526900,3035405,21504297,32113989,76,40.463667,-3.74922
Sri Lanka,182788,38222,21229007,0,0,137000,153897,4282630,5514569,91,7.873054,80.771797
Sudan (the),174530,9471,21671976,0,0,0,0,783200,1002907,87,12.862807,30.217636
Suriname,8057,5,50648,0,0,0,0,0,0,4,3.919305,-56.027783
Sweden,24067,19,13850,0,0,770000,1097089,3142000,4346116,12,60.128161,18.643501
Switzerland,88224,1162,7713,795000,1103073,4198300,6249420,7922260,11914040,44,46.818188,8.227512
Syria,28175,147,8013608,0,0,0,0,0,0,14,34.802075,38.996815
Taiwan,164492,4120,3809226,0,0,2357000,3531063,21477690,33504015,82,23.69781,120.960515
Tajikistan,148448,2252,6815710,0,0,0,0,1814384,2658390,74,38.861034,71.276093
"Tanzania, United Republic of",192603,9622,14351892,194000,214459,0,0,463790,526539,96,-6.369028,34.888822
Thailand,294950,11964,101785235,0,0,10321000,12493263,51619262,63995235,147,15.870032,100.992541
Timor-Leste,28147,93,289925,0,0,0,0,24000,25513,14,-8.874217,125.727539
Togo,48111,1149,675213,0,0,0,0,0,0,24,8.619543,0.824782
Tokelau,3995,0,128,0,0,0,0,2400,4977,2,-8.967363,-171.855881
Tonga,36183,15,227764,0,0,0,0,325300,251002,18,-21.178986,-175.198242
Trinidad and Tobago,20014,8,153187,0,0,0,0,29770,47762,10,10.691803,-61.222503
Tunisia,26156,105,262508,0,0,0,0,278800,542386,13,33.886917,9.537499
Turkey,226673,21394,6785683,35000000,56934947,2665800,4046989,28928300,44877760,113,38.963745,35.243322
Turkmenistan,3993,11,420,0,0,0,0,99870,187333,2,38.969719,59.556278
Turks and Caicos Islands (the),12035,4,1700,0,0,14900,16471,1000000,1182006,6,21.694025,-71.797928
Tuvalu,12050,0,21167,0,0,0,0,0,0,6,-7.109535,177.64933
Uganda,196799,5300,6357332,0,0,0,0,78471,139062,98,1.373333,32.290275
Ukraine,78219,1505,2911081,0,0,0,0,3835475,4828474,39,48.379433,31.16558
United Arab Emirates (the),2017,0,188,0,0,0,0,0,0,1,23.424076,53.847818
United Kingdom of Great Britain and Northern Ireland (the),176457,3979,767213,0,0,19303834,29509569,35737180,53459270,88,55.378051,-3.435973
