country,iso,disaster_type,year,total_deaths,total_affected,total_damages,total_occurrences
Colombia,COL,Earthquake,51675,2901,1460665,2323666,26
Colombia,COL,Epidemic,12047,672,121194,0,6
Colombia,COL,Flood,210369,3680,16484357,3626353,105
Colombia,COL,Insect infestation,1995,0,0,104000,1
Colombia,COL,Landslide,91721,3439,106776,102400,46
Colombia,COL,Mass movement (dry),5984,247,2411,0,3
Colombia,COL,Storm,22001,72,418215,178050,11
Colombia,COL,Volcanic activity,20014,21826,56964,1000000,10
Colombia,COL,Wildfire,8017,42,119200,0,4
Comoros (the),COM,Drought,1981,0,0,0,1
Comoros (the),COM,Earthquake,2014,0,10000,0,1
Comoros (the),COM,Epidemic,12003,86,7562,0,6
Comoros (the),COM,Flood,4021,6,67637,5000,2
Comoros (the),COM,Storm,17950,567,470174,42804,9
Comoros (the),COM,Volcanic activity,9984,2,309200,0,5
Congo (the Democratic Republic of the),COD,Drought,3961,0,800000,0,2
Congo (the Democratic Republic of the),COD,Earthquake,9986,53,23161,7200,5
Congo (the Democratic Republic of the),COD,Epidemic,160360,16402,1028396,0,80
Congo (the Democratic Republic of the),COD,Flood,72373,748,1116815,15000,36
Congo (the Democratic Republic of the),COD,Landslide,16037,434,2543,0,8
Congo (the Democratic Republic of the),COD,Storm,12047,75,103036,0,6
Congo (the Democratic Republic of the),COD,Volcanic activity,8001,379,458804,9000,4
Congo (the Democratic Republic of the),COD,Wildfire,6034,11,59898,0,3
Congo (the),COG,Drought,1983,0,0,0,1
Congo (the),COG,Epidemic,38154,4508,224993,0,19
Congo (the),COG,Flood,28134,72,498766,59,14
Congo (the),COG,Landslide,1967,154,668,0,1
Cook Islands (the),COK,Epidemic,5996,7,2570,0,3
Cook Islands (the),COK,Storm,15938,25,6454,25000,8
Costa Rica,CRI,Drought,9997,0,0,24000,5
Costa Rica,CRI,Earthquake,29820,166,164493,370700,15
Costa Rica,CRI,Epidemic,6027,3,21638,0,3
Costa Rica,CRI,Flood,60011,151,967923,425000,30
Costa Rica,CRI,Landslide,2000,7,200,0,1
Costa Rica,CRI,Storm,20039,117,1010836,562390,10
Costa Rica,CRI,Volcanic activity,13886,104,109771,5000,7
Costa Rica,CRI,Wildfire,3968,0,1200,0,2
Croatia,HRV,Drought,2003,0,0,330000,1
Croatia,HRV,Earthquake,6036,9,230349,13023400,3
Croatia,HRV,Extreme temperature,12042,840,200,240000,6
Croatia,HRV,Flood,24124,4,15512,80000,12
Croatia,HRV,Storm,4022,2,3500,161000,2
Croatia,HRV,Wildfire,12031,13,106,37750,6
Cuba,CUB,Drought,13977,0,920000,183139,7
Cuba,CUB,Earthquake,3968,1,5877,0,2
Cuba,CUB,Epidemic,3990,3,50181,0,2
Cuba,CUB,Flood,49943,124,1084251,202590,25
Cuba,CUB,Storm,87993,1911,22137070,14477968,44
Cuba,CUB,Wildfire,3986,0,0,0,2
Cyprus,CYP,Drought,3991,0,0,0,2
Cyprus,CYP,Earthquake,3948,42,4465,4340,2
Cyprus,CYP,Epidemic,3966,0,280,0,2
Cyprus,CYP,Extreme temperature,6005,61,500,0,3
Cyprus,CYP,Storm,7959,3,3140,10100,4
Cyprus,CYP,Wildfire,4021,4,150,47000,2
Czech Republic (the),CZE,Extreme temperature,12060,480,0,0,6
Czech Republic (the),CZE,Flood,28083,100,1622332,5744112,14
Czech Republic (the),CZE,Storm,24156,18,3838,923900,12
Czechoslovakia,CSK,Extreme temperature,5948,0,0,0,3
Czechoslovakia,CSK,Flood,1987,0,0,1000,1
Czechoslovakia,CSK,Landslide,3959,24,0,0,2
Czechoslovakia,CSK,Storm,5952,0,600,15000,3
Côte d’Ivoire,CIV,Drought,1980,0,0,0,1
Côte d’Ivoire,CIV,Epidemic,28013,717,9050,0,14
Côte d’Ivoire,CIV,Flood,30175,218,85995,0,15
Côte d’Ivoire,CIV,Landslide,2009,27,10006,0,1
Denmark,DNK,Drought,1992,0,0,751700,1
Denmark,DNK,Storm,31946,27,0,4444939,16
Djibouti,DJI,Drought,19998,0,1380176,0,10
Djibouti,DJI,Epidemic,9996,92,4047,0,5
Djibouti,DJI,Flood,17955,250,1049300,5719,9
Djibouti,DJI,Insect infestation,2019,0,0,0,1
Djibouti,DJI,Storm,4013,2,25775,0,2
Dominica,DMA,Earthquake,2004,0,100,0,1
Dominica,DMA,Storm,25904,140,196283,2223060,13
Dominican Republic (the),DOM,Drought,1968,0,240000,5000,1
Dominican Republic (the),DOM,Earthquake,2003,3,2015,0,1
Dominican Republic (the),DOM,Epidemic,18025,395,65060,0,9
Dominican Republic (the),DOM,Flood,60139,859,4359175,97725,30
Dominican Republic (the),DOM,Storm,78102,2530,2928617,3015910,39
Dominican Republic (the),DOM,Wildfire,5953,0,0,1000,3
Ecuador,ECU,Drought,7983,0,744665,1700,4
Ecuador,ECU,Earthquake,35977,5773,695939,3535000,18
Ecuador,ECU,Epidemic,25911,1015,170656,0,13
Ecuador,ECU,Flood,81972,1093,2078156,1621570,41
Ecuador,ECU,Landslide,29891,892,81751,500000,15
Ecuador,ECU,Mass movement (dry),2002,60,0,0,1
Ecuador,ECU,Volcanic activity,30026,6,1631416,160975,15
Ecuador,ECU,Wildfire,5991,5,2745,0,3
Egypt,EGY,Earthquake,9913,584,93547,1200000,5
Egypt,EGY,Epidemic,4008,15,143,0,2
Egypt,EGY,Extreme temperature,8006,167,171,0,4
Egypt,EGY,Flood,27946,777,261133,231000,14
Egypt,EGY,Mass movement (dry),4001,132,997,0,2
Egypt,EGY,Storm,16023,152,47860,126000,8
El Salvador,SLV,Drought,14016,0,1486610,357400,7
El Salvador,SLV,Earthquake,19934,3506,2552650,3411500,10
El Salvador,SLV,Epidemic,21992,522,103524,0,11
El Salvador,SLV,Extreme temperature,2006,1,0,0,1
El Salvador,SLV,Flood,36046,688,436741,1281500,18
El Salvador,SLV,Landslide,6001,86,525,0,3
El Salvador,SLV,Storm,38132,911,438725,1924410,19
El Salvador,SLV,Volcanic activity,4018,2,65079,0,2
Equatorial Guinea,GNQ,Epidemic,2004,15,946,0,1
Eritrea,ERI,Drought,6000,0,5600000,0,3
Eritrea,ERI,Flood,4007,0,7013,0,2
Eritrea,ERI,Insect infestation,4014,0,0,0,2
Eritrea,ERI,Storm,1993,3,15675,5165,1
Estonia,EST,Extreme temperature,6035,11,0,0,3
Estonia,EST,Storm,2005,0,100,130000,1
Eswatini,SWZ,Drought,13998,500,2354000,1739,7
Eswatini,SWZ,Epidemic,5988,142,3677,0,3
Eswatini,SWZ,Flood,6022,11,274900,50,3
Eswatini,SWZ,Storm,8016,54,640185,54152,4
Eswatini,SWZ,Wildfire,2007,2,1500,0,1
Ethiopia,ETH,Drought,35964,402367,92041879,2132600,18
Ethiopia,ETH,Earthquake,3930,54,585,320,2
Ethiopia,ETH,Epidemic,56039,11796,198248,0,28
Ethiopia,ETH,Flood,116050,2132,4575030,19220,58
Ethiopia,ETH,Insect infestation,9972,0,0,0,5
Ethiopia,ETH,Landslide,14089,115,215,36,7
Ethiopia,ETH,Mass movement (dry),1991,13,0,0,1
Ethiopia,ETH,Volcanic activity,5989,69,11000,0,3
Ethiopia,ETH,Wildfire,2000,0,5,0,1
Fiji,FJI,Drought,5996,0,361455,30000,3
Fiji,FJI,Earthquake,3980,0,0,0,2
Fiji,FJI,Epidemic,2019,0,14,0,1
Fiji,FJI,Flood,21996,71,264825,186247,11
Fiji,FJI,Storm,85808,378,1925141,1151606,43
Finland,FIN,Flood,2005,0,400,0,1
Finland,FIN,Storm,3980,0,0,10000,2
France,FRA,Drought,9981,0,0,1610000,5
France,FRA,Earthquake,5965,12,1856,0,3
France,FRA,Epidemic,3994,21,6,0,2
France,FRA,Extreme temperature,42151,27593,10200,10772000,21
France,FRA,Flood,120165,324,106759,11717850,60
France,FRA,Landslide,19818,199,338,10790,10
France,FRA,Storm,150175,467,4090197,27855060,75
France,FRA,Wildfire,23934,32,18429,10000,12
French Guiana,GUF,Flood,4016,0,70139,0,2
French Guiana,GUF,Landslide,2000,10,5,0,1
French Polynesia,PYF,Flood,2017,0,5004,2000,1
French Polynesia,PYF,Landslide,5983,23,511,0,3
French Polynesia,PYF,Storm,7934,8,8461,48000,4
Gabon,GAB,Epidemic,16010,116,18708,0,8
Gabon,GAB,Flood,4000,1,87845,0,2
Gabon,GAB,Storm,6029,0,4330,0,3
Gambia (the),GMB,Drought,13922,0,1321100,700,7
Gambia (the),GMB,Epidemic,7989,341,909,0,4
Gambia (the),GMB,Flood,22092,82,130670,0,11
Gambia (the),GMB,Insect infestation,7965,0,0,0,4
Gambia (the),GMB,Storm,12064,19,48856,0,6
Gambia (the),GMB,Wildfire,1973,0,5000,0,1
Georgia,GEO,Drought,2000,0,696000,200000,1
Georgia,GEO,Earthquake,7994,15,30212,350000,4
Georgia,GEO,Flood,38183,61,171422,59856,19
Georgia,GEO,Storm,6026,0,8668,91000,3
Germany,DEU,Earthquake,3996,1,1675,62000,2
Germany,DEU,Epidemic,4004,0,609,0,2
Germany,DEU,Extreme temperature,26123,9424,165,1950000,13
Germany,DEU,Flood,36091,258,544708,68553600,18
Germany,DEU,Landslide,1999,5,0,6230,1
Germany,DEU,Storm,100252,230,31144,27317775,50
Germany Dem Rep,DDR,Storm,5953,0,0,0,3
Germany Fed Rep,DFR,Earthquake,1978,0,235,150000,1
Germany Fed Rep,DFR,Extreme temperature,1979,0,0,80000,1
Germany Fed Rep,DFR,Flood,7940,13,3512,386000,4
Germany Fed Rep,DFR,Storm,17758,488,250,3348000,9
Germany Fed Rep,DFR,Wildfire,1983,0,0,0,1
Ghana,GHA,Drought,5928,0,12512000,100,3
Ghana,GHA,Epidemic,44027,1274,91471,0,22
Ghana,GHA,Flood,54221,526,5016618,120200,27
Ghana,GHA,Storm,2017,20,12,0,1
Ghana,GHA,Wildfire,1985,4,1500,0,1
Greece,GRC,Drought,1990,0,0,1000000,1
Greece,GRC,Earthquake,75535,996,1212213,7775450,38
