country,iso,disaster_type,year,total_deaths,total_affected,total_damages,total_occurrences
Soviet Union,SUN,Wildfire,1987,0,0,0,1
Spain,ESP,Drought,7950,0,6000000,10660000,4
Spain,ESP,Earthquake,5966,21,15390,244004,3
Spain,ESP,Epidemic,6000,2,2135,0,3
Spain,ESP,Extreme temperature,20001,15627,70,1804300,10
Spain,ESP,Flood,75928,1343,754448,11461885,38
Spain,ESP,Landslide,1996,84,129,20000,1
Spain,ESP,Storm,54015,186,62732,5697000,27
Spain,ESP,Wildfire,36044,74,23727,2754108,18
Sri Lanka,LKA,Drought,23936,0,10978091,45000,12
Sri Lanka,LKA,Earthquake,2004,35399,1019306,1316500,1
Sri Lanka,LKA,Epidemic,21987,1043,459297,0,11
Sri Lanka,LKA,Flood,158204,2056,17448172,2573564,79
Sri Lanka,LKA,Landslide,11986,360,1927,0,6
Sri Lanka,LKA,Storm,26008,1221,2363774,540300,13
Sudan (the),SDN,Drought,17952,150000,27210000,0,9
Sudan (the),SDN,Earthquake,3983,3,8015,0,2
Sudan (the),SDN,Epidemic,84017,10926,237528,0,42
Sudan (the),SDN,Extreme temperature,2015,16,0,0,1
Sudan (the),SDN,Flood,84185,1536,9040969,808200,42
Sudan (the),SDN,Insect infestation,11972,0,0,0,6
Sudan (the),SDN,Storm,6034,53,16030,0,3
Sudan (the),SDN,Wildfire,1998,47,0,0,1
Suriname,SUR,Flood,10026,5,55248,50,5
Sweden,SWE,Epidemic,4004,0,350,0,2
Sweden,SWE,Extreme temperature,2005,0,0,0,1
Sweden,SWE,Flood,5983,11,13500,245800,3
Sweden,SWE,Landslide,1977,13,50,11000,1
Sweden,SWE,Storm,15995,19,0,2970000,8
Sweden,SWE,Wildfire,2018,0,0,102000,1
Switzerland,CHE,Epidemic,2002,0,1,0,1
Switzerland,CHE,Extreme temperature,12043,1050,0,280000,6
Switzerland,CHE,Flood,17982,10,5601,2848500,9
Switzerland,CHE,Landslide,21841,312,3851,1215000,11
Switzerland,CHE,Mass movement (dry),2017,8,200,0,1
Switzerland,CHE,Storm,67955,28,270,3856260,34
Syrian Arab Republic,SYR,Drought,6028,0,7129000,0,3
Syrian Arab Republic,SYR,Epidemic,5976,96,5116,0,3
Syrian Arab Republic,SYR,Flood,9987,9,622003,44000,5
Syrian Arab Republic,SYR,Landslide,2002,80,23,0,1
Syrian Arab Republic,SYR,Storm,10057,47,366552,0,5
Syrian Arab Republic,SYR,Wildfire,2020,3,140079,0,1
Taiwan (Province of China),TWN,Earthquake,29850,2713,187340,15927900,15
Taiwan (Province of China),TWN,Epidemic,4000,91,250309,0,2
Taiwan (Province of China),TWN,Extreme temperature,2016,85,0,0,1
Taiwan (Province of China),TWN,Flood,17973,119,68389,301430,9
Taiwan (Province of China),TWN,Landslide,1986,14,134,0,1
Taiwan (Province of China),TWN,Storm,167759,3817,3464051,6139682,84
Tajikistan,TJK,Drought,4008,0,3800000,57000,2
Tajikistan,TJK,Earthquake,24106,26,48762,28500,12
Tajikistan,TJK,Epidemic,12022,192,24046,0,6
Tajikistan,TJK,Extreme temperature,6033,1,2002500,840000,3
Tajikistan,TJK,Flood,66228,1631,840688,673750,33
Tajikistan,TJK,Insect infestation,1995,0,0,0,1
Tajikistan,TJK,Landslide,28064,390,97384,214700,14
Tajikistan,TJK,Mass movement (dry),1992,12,0,0,1
Tajikistan,TJK,Storm,4000,0,2330,434,2
"Tanzania, United Republic of",TZA,Drought,21947,0,13234483,0,11
"Tanzania, United Republic of",TZA,Earthquake,13992,36,148592,458000,7
"Tanzania, United Republic of",TZA,Epidemic,67969,9489,174695,0,34
"Tanzania, United Republic of",TZA,Flood,106175,887,1277184,9790,53
"Tanzania, United Republic of",TZA,Insect infestation,6011,0,0,0,3
"Tanzania, United Republic of",TZA,Landslide,2001,13,150,0,1
"Tanzania, United Republic of",TZA,Storm,14074,51,2038895,0,7
"Tanzania, United Republic of",TZA,Wildfire,1997,0,0,0,1
Thailand,THA,Drought,24079,0,41982602,3725500,12
Thailand,THA,Earthquake,8024,8347,84546,1062000,4
Thailand,THA,Epidemic,14007,241,43373,0,7
Thailand,THA,Extreme temperature,4030,77,1000000,0,2
Thailand,THA,Flood,186396,4157,62362205,47484808,93
Thailand,THA,Landslide,6000,47,43110,0,3
Thailand,THA,Storm,86051,1740,5314323,921600,43
Thailand,THA,Wildfire,2005,0,0,0,1
Timor-Leste,TLS,Drought,4023,0,120000,0,2
Timor-Leste,TLS,Earthquake,2015,0,2003,4000,1
Timor-Leste,TLS,Epidemic,6041,44,1886,0,3
Timor-Leste,TLS,Flood,12041,8,13636,20000,6
Timor-Leste,TLS,Storm,4027,41,152400,0,2
Togo,TGO,Drought,5940,0,550000,500,3
Togo,TGO,Epidemic,24031,1116,12170,0,12
Togo,TGO,Flood,26068,83,664660,0,13
Togo,TGO,Storm,1966,0,15,200,1
Tokelau,TKL,Storm,7948,0,1858,2900,4
Tonga,TON,Drought,2015,0,0,0,1
Tonga,TON,Earthquake,3986,10,6012,10700,2
Tonga,TON,Epidemic,4038,0,501,0,2
Tonga,TON,Storm,35974,14,307999,223200,18
Tonga,TON,Volcanic activity,2022,4,84176,117000,1
Trinidad and Tobago,TTO,Drought,2010,0,0,0,1
Trinidad and Tobago,TTO,Earthquake,1997,0,17,25000,1
Trinidad and Tobago,TTO,Flood,6007,5,150210,3770,3
Trinidad and Tobago,TTO,Landslide,2004,2,1200,0,1
Trinidad and Tobago,TTO,Storm,9936,27,51560,36000,5
Trinidad and Tobago,TTO,Volcanic activity,1997,0,200,0,1
Tunisia,TUN,Drought,3965,0,31400,0,2
Tunisia,TUN,Earthquake,1957,13,0,0,1
Tunisia,TUN,Flood,39870,985,629267,476800,20
Tunisia,TUN,Insect infestation,3976,0,0,0,2
Tunisia,TUN,Wildfire,4038,0,3000,0,2
Turkey,TUR,Earthquake,145153,34033,7035242,25206970,73
Turkey,TUR,Epidemic,15849,613,204855,0,8
Turkey,TUR,Extreme temperature,13998,100,8450,1000,7
Turkey,TUR,Flood,100066,1147,1808527,3036500,50
Turkey,TUR,Landslide,27993,504,13671,26000,14
Turkey,TUR,Mass movement (dry),1992,261,1069,0,1
Turkey,TUR,Storm,21977,100,14209,602200,11
Turkey,TUR,Wildfire,12010,24,562238,232000,6
Turkmenistan,TKM,Earthquake,2000,11,0,0,1
Turkmenistan,TKM,Flood,1993,0,420,99870,1
Turks and Caicos Islands (the),TCA,Storm,14020,4,2470,1000005,7
Tuvalu,TUV,Drought,4032,0,10204,0,2
Tuvalu,TUV,Storm,13961,6,11663,0,7
Uganda,UGA,Drought,19977,2659,5493000,1800,10
Uganda,UGA,Earthquake,11944,115,58100,71500,6
Uganda,UGA,Epidemic,78117,1698,345720,0,39
Uganda,UGA,Flood,70420,477,1422882,6871,35
Uganda,UGA,Insect infestation,2019,0,0,0,1
Uganda,UGA,Landslide,20133,610,152742,0,10
Uganda,UGA,Storm,10033,31,18852,0,5
Ukraine,UKR,Drought,2012,0,0,1690000,1
Ukraine,UKR,Epidemic,5986,275,6771,0,3
Ukraine,UKR,Extreme temperature,16079,1102,147626,85000,8
Ukraine,UKR,Flood,32060,90,2695754,1472875,16
Ukraine,UKR,Storm,18042,22,58962,425600,9
Ukraine,UKR,Wildfire,4040,16,1968,162000,2
United Arab Emirates (the),ARE,Flood,2017,0,188,0,1
United Kingdom of Great Britain and Northern Ireland (the),GBR,Drought,2022,0,0,0,1
United Kingdom of Great Britain and Northern Ireland (the),GBR,Earthquake,3997,0,4501,60000,2
United Kingdom of Great Britain and Northern Ireland (the),GBR,Epidemic,7972,71,194,0,4
United Kingdom of Great Britain and Northern Ireland (the),GBR,Extreme temperature,24109,3640,47,0,12
United Kingdom of Great Britain and Northern Ireland (the),GBR,Flood,72110,94,436343,22471230,36
United Kingdom of Great Britain and Northern Ireland (the),GBR,Fog,1952,4000,0,0,1
United Kingdom of Great Britain and Northern Ireland (the),GBR,Landslide,1966,140,0,0,1
United Kingdom of Great Britain and Northern Ireland (the),GBR,Storm,91971,366,327000,14855950,46
United States of America (the),USA,Drought,36140,45,0,63835000,18
United States of America (the),USA,Earthquake,73488,452,78556,41089920,37
United States of America (the),USA,Epidemic,9989,317,406703,0,5
United States of America (the),USA,Extreme temperature,71629,4237,31,16285000,36
United States of America (the),USA,Flood,394074,2151,12437723,96537030,197
United States of America (the),USA,Landslide,10001,479,1656,920000,5
United States of America (the),USA,Storm,1328646,16778,101555077,1049487230,665
United States of America (the),USA,Volcanic activity,3998,90,5000,1360000,2
United States of America (the),USA,Wildfire,188623,372,1151493,80681100,94
Uruguay,URY,Drought,4017,0,11135,750000,2
Uruguay,URY,Extreme temperature,8021,11,2400,0,4
Uruguay,URY,Flood,44140,22,274796,92000,22
Uruguay,URY,Storm,14016,11,5472,25000,7
Uzbekistan,UZB,Drought,2000,0,600000,50000,1
Uzbekistan,UZB,Earthquake,4003,22,50000,0,2
Uzbekistan,UZB,Epidemic,1998,40,148,0,1
Uzbekistan,UZB,Flood,6047,9,71725,0,3
Uzbekistan,UZB,Landslide,4020,32,6,0,2
Uzbekistan,UZB,Mass movement (dry),1992,1,400,0,1
Vanuatu,VUT,Earthquake,15964,12,15105,0,8
Vanuatu,VUT,Epidemic,4005,12,3351,0,2
Vanuatu,VUT,Flood,4011,0,3951,0,2
Vanuatu,VUT,Landslide,1988,1,3000,0,1
Vanuatu,VUT,Storm,55735,229,615263,656650,28
Vanuatu,VUT,Volcanic activity,18103,0,46869,0,9
Venezuela (Bolivarian Republic of),VEN,Drought,2009,0,0,0,1
Venezuela (Bolivarian Republic of),VEN,Earthquake,13855,423,88905,222000,7
Venezuela (Bolivarian Republic of),VEN,Epidemic,13938,162,42871,0,7
Venezuela (Bolivarian Republic of),VEN,Flood,78188,30454,2452229,3527126,39
Venezuela (Bolivarian Republic of),VEN,Landslide,7924,164,21518,800,4
Venezuela (Bolivarian Republic of),VEN,Storm,7995,124,7630,4500,4
Viet Nam,VNM,Drought,14024,0,8545558,7399120,7
Viet Nam,VNM,Epidemic,21983,1209,107958,0,11
Viet Nam,VNM,Flood,200548,6058,33480272,4414162,100
Viet Nam,VNM,Insect infestation,1978,0,0,0,1
Viet Nam,VNM,Landslide,11999,330,39074,2300,6
Viet Nam,VNM,Storm,258293,19700,55809062,11600484,129
Viet Nam,VNM,Wildfire,2002,0,0,0,1
Virgin Island (British),VGB,Storm,6030,9,3,3002000,3
Virgin Island (U.S.),VIR,Storm,16014,17,20000,1237800,8
Wallis and Futuna,WLF,Earthquake,1993,5,20,0,1
Wallis and Futuna,WLF,Storm,7929,1,5752,0,4
Yemen,YEM,Earthquake,1991,10,40039,0,1
Yemen,YEM,Epidemic,16108,1013,525000,0,8
Yemen,YEM,Flood,78365,1141,1139613,1631500,39
Yemen,YEM,Landslide,6030,96,31,0,3
Yemen,YEM,Storm,12068,105,140939,200000,6
Yemen,YEM,Volcanic activity,2007,6,15,0,1
Yemen Arab Rep,YMN,Drought,3946,0,2020000,10000,2
Yemen Arab Rep,YMN,Earthquake,1982,1507,401500,2000000,1
Yemen Arab Rep,YMN,Flood,5937,150,202862,12700,3
Yemen Arab Rep,YMN,Insect infestation,3961,0,0,0,2
Yemen P Dem Rep,YMD,Drought,3952,0,0,0,2
Yemen P Dem Rep,YMD,Flood,9905,507,705000,1040200,5
Yugoslavia,YUG,Drought,1990,0,0,1000000,1
Yugoslavia,YUG,Earthquake,19754,1226,643156,1564100,10
Yugoslavia,YUG,Epidemic,1972,35,174,0,1
Yugoslavia,YUG,Extreme temperature,1988,38,0,0,1
Yugoslavia,YUG,Flood,11865,95,348000,1175700,6
Yugoslavia,YUG,Wildfire,3968,0,0,200000,2
Zambia,ZMB,Drought,13994,0,7183204,0,7
Zambia,ZMB,Epidemic,38019,1333,69916,0,19
Zambia,ZMB,Flood,46168,81,5900680,20900,23
Zambia,ZMB,Insect infestation,3965,0,0,0,2
Zambia,ZMB,Landslide,2010,9,150,0,1
Zimbabwe,ZWE,Drought,18038,0,26190118,551000,9
Zimbabwe,ZWE,Epidemic,46095,6349,627953,0,23
Zimbabwe,ZWE,Flood,26119,313,344022,296500,13
Zimbabwe,ZWE,Storm,18095,942,391084,190200,9
