country,disaster_type,year,total_deaths,total_affected,total_damages,total_occurrences
Djibouti,Flood,17955,250,1049300,5719,9
Djibouti,Insect infestation,2019,0,0,0,1
Djibouti,Storm,4013,2,25775,0,2
Dominica,Earthquake,2004,0,100,0,1
Dominica,Storm,25904,140,196283,2223060,13
Dominican Republic (the),Drought,1968,0,240000,5000,1
Dominican Republic (the),Earthquake,2003,3,2015,0,1
Dominican Republic (the),Epidemic,18025,395,65060,0,9
Dominican Republic (the),Flood,60139,859,4359175,97725,30
Dominican Republic (the),Storm,78102,2530,2928617,3015910,39
Dominican Republic (the),Wildfire,5953,0,0,1000,3
Ecuador,Drought,7983,0,744665,1700,4
Ecuador,Earthquake,35977,5773,695939,3535000,18
Ecuador,Epidemic,25911,1015,170656,0,13
Ecuador,Flood,81972,1093,2078156,1621570,41
Ecuador,Landslide,29891,892,81751,500000,15
Ecuador,Mass movement (dry),2002,60,0,0,1
Ecuador,Volcanic activity,30026,6,1631416,160975,15
Ecuador,Wildfire,5991,5,2745,0,3
Egypt,Earthquake,9913,584,93547,1200000,5
Egypt,Epidemic,4008,15,143,0,2
Egypt,Extreme temperature,8006,167,171,0,4
Egypt,Flood,27946,777,261133,231000,14
Egypt,Mass movement (dry),4001,132,997,0,2
Egypt,Storm,16023,152,47860,126000,8
El Salvador,Drought,14016,0,1486610,357400,7
El Salvador,Earthquake,19934,3506,2552650,3411500,10
El Salvador,Epidemic,21992,522,103524,0,11
El Salvador,Extreme temperature,2006,1,0,0,1
El Salvador,Flood,36046,688,436741,1281500,18
El Salvador,Landslide,6001,86,525,0,3
El Salvador,Storm,38132,911,438725,1924410,19
El Salvador,Volcanic activity,4018,2,65079,0,2
Equatorial Guinea,Epidemic,2004,15,946,0,1
Eritrea,Drought,6000,0,5600000,0,3
Eritrea,Flood,4007,0,7013,0,2
Eritrea,Insect infestation,4014,0,0,0,2
Eritrea,Storm,1993,3,15675,5165,1
Estonia,Extreme temperature,6035,11,0,0,3
Estonia,Storm,2005,0,100,130000,1
Eswatini,Drought,13998,500,2354000,1739,7
Eswatini,Epidemic,5988,142,3677,0,3
Eswatini,Flood,6022,11,274900,50,3
Eswatini,Storm,8016,54,640185,54152,4
Eswatini,Wildfire,2007,2,1500,0,1
Ethiopia,Drought,35964,402367,92041879,2132600,18
Ethiopia,Earthquake,3930,54,585,320,2
Ethiopia,Epidemic,56039,11796,198248,0,28
Ethiopia,Flood,116050,2132,4575030,19220,58
Ethiopia,Insect infestation,9972,0,0,0,5
Ethiopia,Landslide,14089,115,215,36,7
Ethiopia,Mass movement (dry),1991,13,0,0,1
Ethiopia,Volcanic activity,5989,69,11000,0,3
Ethiopia,Wildfire,2000,0,5,0,1
Fiji,Drought,5996,0,361455,30000,3
Fiji,Earthquake,3980,0,0,0,2
Fiji,Epidemic,2019,0,14,0,1
Fiji,Flood,21996,71,264825,186247,11
Fiji,Storm,85808,378,1925141,1151606,43
