country,disaster_type,year,total_deaths,total_affected,total_damages,total_occurrences
Uzbekistan,Earthquake,4003,22,50000,0,2
Uzbekistan,Epidemic,1998,40,148,0,1
Uzbekistan,Flood,6047,9,71725,0,3
Uzbekistan,Landslide,4020,32,6,0,2
Uzbekistan,Mass movement (dry),1992,1,400,0,1
Vanuatu,Earthquake,15964,12,15105,0,8
Vanuatu,Epidemic,4005,12,3351,0,2
Vanuatu,Flood,4011,0,3951,0,2
Vanuatu,Landslide,1988,1,3000,0,1
Vanuatu,Storm,55735,229,615263,656650,28
Vanuatu,Volcanic activity,18103,0,46869,0,9
Venezuela (Bolivarian Republic of),Drought,2009,0,0,0,1
Venezuela (Bolivarian Republic of),Earthquake,13855,423,88905,222000,7
Venezuela (Bolivarian Republic of),Epidemic,13938,162,42871,0,7
Venezuela (Bolivarian Republic of),Flood,78188,30454,2452229,3527126,39
Venezuela (Bolivarian Republic of),Landslide,7924,164,21518,800,4
Venezuela (Bolivarian Republic of),Storm,7995,124,7630,4500,4
Viet Nam,Drought,14024,0,8545558,7399120,7
Viet Nam,Epidemic,21983,1209,107958,0,11
Viet Nam,Flood,200548,6058,33480272,4414162,100
Viet Nam,Insect infestation,1978,0,0,0,1
Viet Nam,Landslide,11999,330,39074,2300,6
Viet Nam,Storm,258293,19700,55809062,11600484,129
Viet Nam,Wildfire,2002,0,0,0,1
Virgin Island (British),Storm,6030,9,3,3002000,3
Virgin Island (U.S.),Storm,16014,17,20000,1237800,8
Wallis and Futuna,Earthquake,1993,5,20,0,1
Wallis and Futuna,Storm,7929,1,5752,0,4
Yemen,Earthquake,1991,10,40039,0,1
Yemen,Epidemic,16108,1013,525000,0,8
Yemen,Flood,78365,1141,1139613,1631500,39
Yemen,Landslide,6030,96,31,0,3
Yemen,Storm,12068,105,140939,200000,6
Yemen,Volcanic activity,2007,6,15,0,1
Yemen Arab Rep,Drought,3946,0,2020000,10000,2
Yemen Arab Rep,Earthquake,1982,1507,401500,2000000,1
Yemen Arab Rep,Flood,5937,150,202862,12700,3
Yemen Arab Rep,Insect infestation,3961,0,0,0,2
Yemen P Dem Rep,Drought,3952,0,0,0,2
Yemen P Dem Rep,Flood,9905,507,705000,1040200,5
Yugoslavia,Drought,1990,0,0,1000000,1
Yugoslavia,Earthquake,19754,1226,643156,1564100,10
Yugoslavia,Epidemic,1972,35,174,0,1
Yugoslavia,Extreme temperature,1988,38,0,0,1
Yugoslavia,Flood,11865,95,348000,1175700,6
Yugoslavia,Wildfire,3968,0,0,200000,2
Zambia,Drought,13994,0,7183204,0,7
Zambia,Epidemic,38019,1333,69916,0,19
Zambia,Flood,46168,81,5900680,20900,23
Zambia,Insect infestation,3965,0,0,0,2
Zambia,Landslide,2010,9,150,0,1
Zimbabwe,Drought,18038,0,26190118,551000,9
Zimbabwe,Epidemic,46095,6349,627953,0,23
Zimbabwe,Flood,26119,313,344022,296500,13
Zimbabwe,Storm,18095,942,391084,190200,9
